sku,attribute_set_code,product_type,categories,manufacturer,name,price,description,base_image,small_image,thumbnail_image,additional_images
1320,Default,simple,Default Category/Trang phục leo núi,Khác,Áo mưa đoàn loại tốt,25000,"Áo mưa đoàn bảo vệ bạn khỏi thời tiết mưa nắng thất thường trong những chuyến leo núi, đảm bảo trải nghiệm ngoài trời an toàn trong thời tiết khắc nghiệt nhất.",/1320-0.jpg,/1320-0.jpg,/1320-0.jpg,
1336,Default,simple,Default Category/Trang phục leo núi,Khác,Ủng nilon (loại mới),12000,"Ủng nilon (loại mới) giá chỉ 10k rẻ nhất tại WeTrek. Ủng bằng nilon chống nước tuyệt đối. Nhỏ gọn, tiện lợi khi đi du lịch, đi phượt. Liên hệ: 02873051988.",/1336-0.jpg,/1336-0.jpg,/1336-0.jpg,
7692,Default,simple,Default Category/Trang phục leo núi,MADE IN VIETNAM,Áo mưa balo 30 - 50L Raincover - 7692,80000,"Áo mưa balo 30 - 50L Raincover - 7692  được làm từ chất liệu 100% Polyester chống nước rất tốt, bề mặt nhẵn bóng khó bám bẩn và dễ dàng làm sạch. Phù hợp sử dụng cho Balo leo núi có thể tích từ 30-50L. Đây là phụ kiện không thể thiếu cho chiếc balo của bạn.",/7692-0.jpg,/7692-0.jpg,/7692-0.jpg,
10216-3,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nữ Gothiar Quick Dry,599000,"Quần mau khô Gothiar thuận tiện cho những hoạt động như leo núi, đi bộ, lội suối, du lịch dã ngoại, hoạt động ngoài trời.",/10216-3-0.jpg,/10216-3-0.jpg,/10216-3-0.jpg,"/10216-3-2.jpg,/10216-3-3.jpg,/10216-3-4.jpg,/10216-3-5.jpg,/10216-3-6.jpg,/10216-3-7.jpg"
10206-1,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nữ Gothiar - Đỏ nâu,795000,"Thiết kế họa tiết trẻ chung cùng nhiều màu sắc, đi kèm chất liệu mau khô chống thấm tốt từ Polyester, chắc chắn sẽ là sản phẩm cần thiết trong mỗi chuyến đi Outdoor Leo Núi - Dã Ngoại của bạn.",/10206-1-0.jpg,/10206-1-0.jpg,/10206-1-0.jpg,"/10206-1-2.jpg,/10206-1-3.jpg,/10206-1-4.jpg,/10206-1-5.jpg"
10772-5,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Áo thun ngắn tay nam Gothiar Classic,385000,"Áo thun ngắn tay nam Gothiar Classic được thiết kế đặc biệt để đáp ứng nhu cầu của những người yêu thích hoạt động thể thao và dã ngoại. Với chất liệu polyester chất lượng cao, thấm hút mồ hôi tốt và thoáng khí, giúp bạn thoải mái trong mọi hoạt động.",/10772-5-0.jpg,/10772-5-0.jpg,/10772-5-0.jpg,"/10772-5-1.jpg,/10772-5-2.jpg,/10772-5-3.jpg,/10772-5-4.jpg,/10772-5-5.jpg,/10772-5-6.jpg"
9869,Default,simple,Default Category/Trang phục leo núi,KTOM,Áo sơ mi dài tay mau khô nam Ktom K128,460000,Áo chống nắng KTOM được làm bằng chất liệu vải nhanh khô với công nghệ OMNI-SHADE ® cản tia UV (hay còn gọi là tia cực tím) làm cho bạn an toàn hơn khi đi ngoài trời.,/9869-0.jpg,/9869-0.jpg,/9869-0.jpg,"/9869-1.jpg,/9869-2.jpg"
10469-4,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Áo thun ngắn tay nam Gothiar AT Dry,323000,"Áo thun là một trong những loại áo thường được sử dụng trong thời trang hàng ngày. Nó có thiết kế đơn giản, dễ mặc và phù hợp với nhiều hoàn cảnh khác nhau. Với sự phát triển của công nghệ vải, chất liệu áo thun ngày càng đa dạng, tạo ra sự thoải mái và tiện ích cho người mặc.",/10469-4-0.jpg,/10469-4-0.jpg,/10469-4-0.jpg,"/10469-4-1.jpg,/10469-4-2.jpg,/10469-4-3.jpg,/10469-4-4.jpg,/10469-4-5.jpg"
10176-1,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nữ Gothiar - Xanh dương,795000,"Bới thiết kế họa tiết trẻ chung cùng nhiều màu sắc, đi kèm chất liệu mau khô chống thấm tốt từ Polyester, chắc chắn sẽ là sản phẩm cần thiết trong mỗi chuyến đi Outdoor Leo Núi - Dã Ngoại của bạn.",/10176-1-0.jpg,/10176-1-0.jpg,/10176-1-0.jpg,"/10176-1-1.jpg,/10176-1-2.jpg,/10176-1-3.jpg"
10151-1,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nối ống FM Gothiar Active Convertible,569000,"Tính năng nhanh khô không để lại mồ hôi, thoáng khí và rất nhẹ phù hợp với các hoạt động dã ngoại ngoài trời hay các công việc hay phải di chuyển nhiều vào thời tiết nắng nóng nhờ tới công nghệ giúp di chuyển và phát tán hơi ẩm ra khỏi cơ thể một cách nhanh nhất, giữ cho người dùng luôn thoải mái trong suốt quá trình vận động.",/10151-1-0.jpg,/10151-1-0.jpg,/10151-1-0.jpg,"/10151-1-2.jpg,/10151-1-3.jpg,/10151-1-4.jpg,/10151-1-5.jpg,/10151-1-6.jpg,/10151-1-7.jpg,/10151-1-8.jpg,/10151-1-9.jpg"
10519-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nữ cổ cao Humtto Hiking Shoes 290015B-1,1299000,"Đế giày leo núi nữ cổ cao Humtto Hiking Shoes 290015B-1 mềm mại và thông thoáng, độ bền cao cùng thiết kế mũi giày chống va đập, bảo vệ tránh chấn thương khi vận động.",/10519-1-0.jpg,/10519-1-0.jpg,/10519-1-0.jpg,"/10519-1-2.jpg,/10519-1-3.jpg,/10519-1-4.jpg,/10519-1-5.jpg,/10519-1-6.jpg"
10513,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nam cổ thấp Humtto Hiking Shoes 140664A-1,1199000,"Đế giày mềm mại và thông thoáng, độ bền cao cùng thiết kế mũi giày chống va đập, bảo vệ tránh chấn thương khi vận động.",/10513-0.jpg,/10513-0.jpg,/10513-0.jpg,"/10513-2.jpg,/10513-3.jpg,/10513-4.jpg,/10513-5.jpg,/10513-6.jpg,/10513-7.jpg"
10524-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nam cổ thấp Humtto Hiking Shoes 140121A-1,1299000,"Đế giày mềm mại và thông thoáng, độ bền cao cùng thiết kế mũi giày chống va đập, bảo vệ tránh chấn thương khi vận động.",/10524-1-0.jpg,/10524-1-0.jpg,/10524-1-0.jpg,"/10524-1-2.jpg,/10524-1-3.jpg,/10524-1-4.jpg,/10524-1-5.jpg"
10567-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi cổ thấp Humtto Hiking Men Shoes 110609A-2,989000,"Khám phá cuộc phiêu lưu ngoại trời với giày Humtto Hiking Men Shoes 110609A-2. Thiết kế linh hoạt, chống nước mạnh mẽ, và đế êm dẻo giúp bạn tự tin vượt qua mọi địa hình. Đi bộ đường dài, leo núi, hay trekking - sự thoải mái và bảo vệ tối đa đều là của riêng bạn. Đặt hàng ngay để trải nghiệm cuộc hành trình mới với đôi giày đa dụng này",/10567-1-0.jpg,/10567-1-0.jpg,/10567-1-0.jpg,"/10567-1-2.jpg,/10567-1-3.jpg,/10567-1-4.jpg,/10567-1-5.jpg,/10567-1-6.jpg,/10567-1-7.jpg,/10567-1-8.jpg,/10567-1-9.jpg"
10516-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nữ cổ thấp Humtto Hiking Shoes 140503B-3,1299000,"Giày leo núi nữ cổ thấp Humtto Hiking Shoes 140503B-3 có chất liệu được làm từ da thật với độ bền cao. Đế ngoài cao su với công nghệ đế trợ lực và chống trơn trượt. Phần mũi giày thiết kế đặc biệt giúp bảo vệ các ngón chân tốt hơn, tránh bị tổn thương khi vận động. Giày phù hợp sử dụng cho các hoạt động thể thao dã ngoại ngoài trời, leo núi, đi bộ đường dài...",/10516-1-0.jpg,/10516-1-0.jpg,/10516-1-0.jpg,"/10516-1-2.jpg,/10516-1-3.jpg,/10516-1-4.jpg,/10516-1-5.jpg,/10516-1-6.jpg,/10516-1-7.jpg"
10371,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nam cổ thấp Humtto 120562A-3,1149000,"Giày leo núi cổ thấp Humtto 120562A-3 với đế giày mềm mại và thông thoáng, độ bền cao cùng thiết kế mũi giày chống va đập, bảo vệ tránh chấn thương khi vận động.",/10371-0.jpg,/10371-0.jpg,/10371-0.jpg,"/10371-1.jpg,/10371-2.jpg,/10371-3.jpg,/10371-4.jpg,/10371-5.jpg,/10371-6.jpg,/10371-7.jpg,/10371-8.jpg,/10371-9.jpg"
10515-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nam cổ thấp Humtto Hiking Shoes 130552A-1,1249000,"Đế giày mềm mại và thông thoáng, độ bền cao cùng thiết kế mũi giày chống va đập, bảo vệ tránh chấn thương khi vận động.",/10515-1-0.jpg,/10515-1-0.jpg,/10515-1-0.jpg,"/10515-1-2.jpg,/10515-1-3.jpg,/10515-1-4.jpg,/10515-1-5.jpg,/10515-1-6.jpg"
10526-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nam cổ thấp Humtto Hiking Shoes 140121A-3,1299000,"Đế giày leo núi cổ thấp Humtto Hiking Shoes 140121A-3 mềm mại và thông thoáng, độ bền cao cùng thiết kế mũi giày chống va đập, bảo vệ tránh chấn thương khi vận động.",/10526-1-0.jpg,/10526-1-0.jpg,/10526-1-0.jpg,"/10526-1-2.jpg,/10526-1-3.jpg,/10526-1-4.jpg,/10526-1-5.jpg"
10521-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nữ cổ thấp Humtto Hiking Shoes 140134B-2,1199000,"Giày leo núi cổ thấp nữ Humtto Hiking Shoes 140134B-2 màu đen, chống nước, kiểu dáng sneaker hiện đại với dây giày ẩn mang đến thiết kế gọn gàng và khả năng điều chỉnh vừa vặn với lòng bàn chân, mang đến sự thoải mái tối ưu. Phần mũi giày chắc chắn, chống va đập giúp bảo vệ ngón chân. Đế giày với 2 lớp: lớp lót EVA thông thoáng, hạn chế gây mùi khó chịu và phần đế từ chất liệu cao su có khả năng chịu lực lớn, độ bền cao.",/10521-1-0.jpg,/10521-1-0.jpg,/10521-1-0.jpg,"/10521-1-2.jpg,/10521-1-3.jpg,/10521-1-4.jpg,/10521-1-5.jpg,/10521-1-6.jpg,/10521-1-7.jpg"
10308-1,Default,simple,Default Category/Giày leo núi,HUMTTO CHINA,Giày leo núi nam cổ cao Humtto Trekking Sneakers 210473A-3,1399000,"Đế giày mềm mại và thông thoáng, độ bền cao cùng thiết kế mũi giày chống va đập, bảo vệ tránh chấn thương khi vận động.",/10308-1-0.jpg,/10308-1-0.jpg,/10308-1-0.jpg,"/10308-1-2.jpg,/10308-1-3.jpg,/10308-1-4.jpg,/10308-1-5.jpg"
3244,Default,simple,Default Category/Mũ leo núi,Khác,Mũ lưỡi trai cờ đỏ sao vàng,23000,"Mũ lưỡi trai Cờ Đỏ Sao Vàng giá chỉ 18K tại WeTrek mang phong cách cá tính và thể hiện lòng yêu nước ngày càng được ưu chuộng. Mũ được làm từ chất liệu vải mềm, thoáng, bền và giữ form.",/3244-0.jpg,/3244-0.jpg,/3244-0.jpg,
10529-1,Default,simple,Default Category/Mũ leo núi,Khác,Mũ rộng vành mau khô Comfort Sun Hat,200000,"Mũ rộng vành mau khô Comfort Sun Hat được làm từ chất liệu 100% Polyester, chống tia UVA, UVB bảo vệ làn da khỏi ánh nắng mặt trời. Lớp lưới dày dặn, thoáng khí và trang bị công nghệ thoát hơi nhanh giúp đầu luôn khô ráo và thoáng mát trong các hoạt động ngoài trời. Công nghệ chống tia UV (UPF 50+) ngăn chặn tác động tiêu cực của tia UV đến da và tóc, mang lại sự an tâm trong khi ra nắng. Ghé thăm để mua Mũ rộng vành mau khô Comfort Sun Hat với chất lượng và tính năng tốt nhất.",/10529-1-0.jpg,/10529-1-0.jpg,/10529-1-0.jpg,"/10529-1-2.jpg,/10529-1-3.jpg,/10529-1-4.jpg,/10529-1-5.jpg,/10529-1-6.jpg,/10529-1-7.jpg"
10197-1,Default,simple,Default Category/Mũ leo núi,KTOM,Mũ rộng vành Ktom Bucket K120,180000,"Được làm từ chất liệu 100% Polyester có khả năng chống tia UVA, UVB bảo vệ làn da của bạn khỏi ánh nắng mặt trời.Lớp lưới dày dặn, thoáng khí.",/10197-1-0.jpg,/10197-1-0.jpg,/10197-1-0.jpg,"/10197-1-1.jpg,/10197-1-2.jpg,/10197-1-3.jpg"
9877,Default,simple,Default Category/Mũ leo núi,NATUREHIKE,Mũ tai bèo chống nắng Naturehike Sun Protection NH21FS532,259000,"Được làm từ chất liệu 100% Polyester có khả năng chống tia UVA, UVB bảo vệ làn da của bạn khỏi ánh nắng mặt trời.Lớp lưới dày dặn, thoáng khí.",/9877-0.jpg,/9877-0.jpg,/9877-0.jpg,"/9877-1.jpg,/9877-2.jpg,/9877-3.jpg,/9877-4.jpg"
9878,Default,simple,Default Category/Mũ leo núi,NATUREHIKE,Mũ lưỡi trai che gáy siêu nhẹ Naturehike Double Brim NH21FS503,229000,"Với thiết kế độc đáo có thể linh hoạt tháo lắp phần che gáy giúp sản phẩm thay đổi tùy điều kiện sử dụng. Thêm nữa mũ có phần lưới giúp thoáng khí, cực kỳ thoải mái và dễ chịu khi đi treking, nhất là trong thời tiết nắng gắt.",/9878-0.jpg,/9878-0.jpg,/9878-0.jpg,"/9878-1.jpg,/9878-2.jpg,/9878-3.jpg,/9878-4.jpg,/9878-5.jpg"
9764-1,Default,simple,Default Category/Mũ leo núi,AONIJIE,Mũ lưỡi trai gấp gọn Aonijie Fast Dry Sun Protection E4107,289000,"Mũ lưỡi trai gấp gọn Aonijie Fast Dry Sun Protection E4107 nhẹ nhàng và linh hoạt, dễ dàng gấp gọn khi không sử dụng",/9764-1-0.jpg,/9764-1-0.jpg,/9764-1-0.jpg,"/9764-1-1.jpg,/9764-1-2.jpg,/9764-1-3.jpg,/9764-1-4.jpg"
10105-1,Default,simple,Default Category/Mũ leo núi,NATUREHIKE,Mũ tai bèo Naturehike Shawl Foldable NH21FS531,355000,"Dòng mũ vành rộng được làm từ 2 lớp dày dặn: Lớp ngoài là 100% Nylon mềm mại, thấm hút mồ hôi và an toàn cho da.",/10105-1-0.jpg,/10105-1-0.jpg,/10105-1-0.jpg,"/10105-1-1.jpg,/10105-1-2.jpg,/10105-1-3.jpg,/10105-1-4.jpg"
9503,Default,simple,Default Category/Mũ leo núi,BUFF,Mũ lưỡi trai Buff Visor R - Sural Multi - 9503,610000,"Mũ lưỡi trai Buff Visor R - Sural Multi - 9503 Dành cho các hoạt động thể thao ngoài trời như nón chạy bộ, nón chơi goft hay tennis, dã ngoại, chèo thuyền, chạy bộ, đạp xe hoặc chạy xe máy, bóng chuyền bãi biển...khả năng chống 98% tia UV.",/9503-0.jpg,/9503-0.jpg,/9503-0.jpg,"/9503-1.jpg,/9503-2.jpg"
10957-1,Default,simple,Default Category/Mũ leo núi,BUFF,Mũ lưỡi trai Buff 5 Panel Go Cap Domus,1069000,"Mũ lưỡi trai Buff 5 Panel Go Cap Domus chính hãng. Thiết kế nhẹ, thoáng khí, UPF 50 chống nắng, thấm hút mồ hôi. Chất liệu tái chế thân thiện môi trường. Phù hợp chạy bộ, tập luyện và sử dụng hàng ngày. Mua ngay!",/10957-1-0.jpg,/10957-1-0.jpg,/10957-1-0.jpg,"/10957-1-1.jpg,/10957-1-2.jpg,/10957-1-3.jpg,/10957-1-4.jpg"
9502,Default,simple,Default Category/Mũ leo núi,BUFF,Mũ lưỡi trai Buff Visor R - Solid Black - 9502,610000,"Mũ lưỡi trai Buff Visor R - Solid Black - 9502 Dành cho các hoạt động thể thao ngoài trời như nón chạy bộ, nón chơi goft hay tennis, dã ngoại, chèo thuyền, chạy bộ, đạp xe hoặc chạy xe máy, bóng chuyền bãi biển...khả năng chống 98% tia UV.",/9502-0.jpg,/9502-0.jpg,/9502-0.jpg,"/9502-1.jpg,/9502-2.jpg"
10941-1,Default,simple,Default Category/Tất leo núi,NA GIEAN,Tất thể thao NA GIEAN Sport Socks NGCM0002,410000,"Tất thể thao NA GIEAN Sport Socks NGCM0002 – làm từ 67,5% len Merino mềm mại, co giãn, kháng khuẩn và giữ nhiệt tốt. Phù hợp leo núi, chạy bộ, đạp xe, giúp bảo vệ đôi chân tối đa.",/10941-1-0.jpg,/10941-1-0.jpg,/10941-1-0.jpg,"/10941-1-1.jpg,/10941-1-2.jpg,/10941-1-3.jpg,/10941-1-4.jpg"
10942-1,Default,simple,Default Category/Tất leo núi,NA GIEAN,Tất thể thao NA GIEAN Sport Socks NGCM4001,450000,"Tất thể thao NA GIEAN Sport Socks NGCM4001 làm từ 62,8% len Merino mềm mại, co giãn, kháng khuẩn, thoáng khí. Phù hợp thể thao, leo núi, dã ngoại, giúp bảo vệ đôi chân tối đa.",/10942-1-0.jpg,/10942-1-0.jpg,/10942-1-0.jpg,"/10942-1-1.jpg,/10942-1-2.jpg,/10942-1-3.jpg,/10942-1-4.jpg"
TEMPSKU-1774339515,Default,simple,Default Category/Tất leo núi,AONIJIE,Tất leo núi TNF Multisport - 7830,100000,,/TEMPSKU-1774339515-0.jpg,/TEMPSKU-1774339515-0.jpg,/TEMPSKU-1774339515-0.jpg,
1038,Default,simple,Default Category/Găng tay leo núi,Khác,Găng tay gai,10000,"Găng tay gai với 100%  sợi cotton mềm mại, thoáng khí. Lòng găng tay có các hạt cao su chống trơn trượt, tăng độ bám giúp cầm, nắm chắc chắn hơn. Trong những chuyến đi phượt, dã ngoại...",/1038-0.png,/1038-0.png,/1038-0.png,
7838,Default,simple,Default Category/Găng tay leo núi,,Găng tay chống nắng Let's Slim - 7838,59000,"Găng tay chống nắng dài tay Let's Slim - 7838 chất thun thoáng mát, dài tay, chính hãng giá tốt nhất tại WETREK.VN.",/7838-0.jpg,/7838-0.jpg,/7838-0.jpg,"/7838-1.jpg,/7838-2.jpg,/7838-3.jpg"
9791-3,Default,simple,Default Category/Găng tay leo núi,NATUREHIKE,Găng tay chống thấm Naturehike Softshell NH19S005-T,240000,"Găng tay chống thấm Naturehike Softshell NH19S005-T được làm từ chất liệu Polyester, mặt ngoài trượt nước, chống thấm nước, cản gió, đi mưa bay, sương, tuyết vô cùng thoải mái, mặt trong lót nỉ êm, mềm, giúp giữ ấm cho đôi tay.",/9791-3-0.jpg,/9791-3-0.jpg,/9791-3-0.jpg,"/9791-3-1.jpg,/9791-3-2.jpg,/9791-3-3.jpg,/9791-3-4.png"
10417-1,Default,simple,Default Category/Găng tay leo núi,NATUREHIKE,Găng tay chống nắng Naturehike Arm Cover UPF 50+ NH21FS002,154000,Găng Tay Chống Nắng chất liệu thun lạnh thoáng mát có kiểu dáng thiết kế thời trang giúp bạn bảo vệ làn da trước tác động không tốt của tia UV cũng như bụi bẩn xung quanh.,/10417-1-0.jpg,/10417-1-0.jpg,/10417-1-0.jpg,"/10417-1-1.jpg,/10417-1-2.jpg,/10417-1-3.jpg,/10417-1-4.jpg"
10655-1,Default,simple,Default Category/Găng tay leo núi,GOODFIT,Găng tay thể thao Goodfit Sport Gloves GF203G,250000,"Găng tay thể thao Goodfit Sport Gloves GF203G với chất liệu nylon và polyester, lòng bàn tay với đệm Silicone tăng cường độ bám dính, không gian thoáng khí giúp thoải mái không bị bí hơi. Khóa dán chắc chắn, tháo mở nhanh và dễ thao tác.",/10655-1-0.jpg,/10655-1-0.jpg,/10655-1-0.jpg,"/10655-1-1.jpg,/10655-1-2.jpg,/10655-1-3.jpg,/10655-1-4.jpg"
1339,Default,simple,Default Category/Khăn leo núi,MADE IN VIETNAM,Khăn Rằn Nam Bộ - 1339,25000,"Khăn rằn Nam Bộ là một nét đặc trưng của người dân Nam Bộ hay cũng là một trang bị outdoor quen thuộc. Khăn rất mềm mại, thấm hút tốt và có thể dùng để che nắng, chống bụi hay như một món đồ thời trang cá tính.",/1339-0.jpg,/1339-0.jpg,/1339-0.jpg,
7715,Default,simple,Default Category/Khăn leo núi,MADE IN VIETNAM,Khăn Tubb đa năng 2 lớp AdventureFun - 7715,79000,"Khăn Tubb đa năng 2 lớp AdventureFun - 7715 là phụ kiện thời trang outdoor được dân du lịch bụi ưu chuộng với nhiều công dụng bất ngờ và màu sắc đa dạng, đẹp mắt.",/7715-0.jpg,/7715-0.jpg,/7715-0.jpg,"/7715-1.jpg,/7715-2.jpg,/7715-3.jpg,/7715-4.jpg,/7715-5.jpg,/7715-6.jpg,/7715-7.jpg"
10130-1,Default,simple,Default Category/Khăn leo núi,NATUREHIKE,Khăn mặt đa năng Naturehike NH19Y003,150000,"Khăn mặt nhanh khô với chất liệu vải thân thiện với da cùng khả năng nhanh khô cực kỳ thuận tiện khi sử dụng trong những chuyến đi biển, đi du lịch cùng gia đình.",/10130-1-0.jpg,/10130-1-0.jpg,/10130-1-0.jpg,"/10130-1-1.jpg,/10130-1-2.jpg,/10130-1-3.jpg,/10130-1-4.jpg"
10505,Default,simple,Default Category/Khăn leo núi,AONIJIE,Khăn đa năng Aonijie Coolmax E4905,150000,"Khăn đa năng Aonijie với chất liệu vải Coolmax thông thoáng, tính năng linh hoạt đáp ứng cho nhu cầu sử dụng linh hoạt trong những chuyến dã ngoại và du lịch ngoài trời.",/10505-0.jpg,/10505-0.jpg,/10505-0.jpg,"/10505-1.jpg,/10505-2.jpg,/10505-3.jpg,/10505-4.jpg,/10505-5.jpg,/10505-6.jpg,/10505-7.jpg,/10505-8.jpg"
11043-BT-1,Default,simple,Default Category/Kính leo núi,OUTDOOR ESSENTIALS,Kính thể thao mắt vuông Square Fashion Sunglasses,159000,"Kính thể thao mắt vuông Square Fashion Sunglasses chống UV400 & Phân cực. Gọng kim loại & Resin bền bỉ, đa dạng màu sắc. Phong cách thời trang, bảo vệ mắt tối ưu.",/11043-BT-1-0.jpg,/11043-BT-1-0.jpg,/11043-BT-1-0.jpg,"/11043-BT-1-1.jpg,/11043-BT-1-2.jpg,/11043-BT-1-3.jpg,/11043-BT-1-4.jpg,/11043-BT-1-5.jpg,/11043-BT-1-6.jpg"
11042-BT-1,Default,simple,Default Category/Kính leo núi,OUTDOOR ESSENTIALS,Kính râm thể thao Sports Sunglasses,159000,"Bảo vệ mắt toàn diện với Kính râm thể thao Sports Sunglasses. Chống UV400, thiết kế unisex, bền bỉ. Lý tưởng cho đạp xe, chạy bộ, và mọi hoạt động ngoài trời. Sở hữu ngay!",/11042-BT-1-0.jpg,/11042-BT-1-0.jpg,/11042-BT-1-0.jpg,"/11042-BT-1-1.jpg,/11042-BT-1-2.jpg,/11042-BT-1-3.jpg,/11042-BT-1-4.jpg,/11042-BT-1-5.jpg,/11042-BT-1-6.jpg"
10973-1,Default,simple,Default Category/Kính leo núi,TIFOSI,Kính mát thể thao Tifosi Intense Sport Sunglasses,999000,"Kính mát thể thao Tifosi Intense Sport Sunglasses với tròng polycarbonate chống vỡ, gọng TR-90 siêu bền, chống tia UV 100%. Thiết kế năng động, chống trượt, phù hợp mọi hoạt động thể thao.",/10973-1-0.jpg,/10973-1-0.jpg,/10973-1-0.jpg,"/10973-1-1.jpg,/10973-1-2.jpg,/10973-1-3.jpg,/10973-1-4.jpg"
10969,Default,simple,Default Category/Kính leo núi,TIFOSI,Kính thể thao Tifosi Crit Bike Sunglasses Matte Black,1800000,"Kính thể thao Tifosi Crit Bike Sunglasses với thiết kế khí động học, tròng kính Enliven™ tăng cường độ tương phản, gọng Grilamid TR-90 siêu nhẹ, chống tia UV, thoáng khí. Tùy chỉnh thoải mái, hiệu suất tối ưu.",/10969-0.jpg,/10969-0.jpg,/10969-0.jpg,"/10969-1.jpg,/10969-2.jpg,/10969-3.jpg"
10970,Default,simple,Default Category/Kính leo núi,TIFOSI,Kính thể thao Tifosi Crit Golf Sunglasses Emerald Green,1250000,"Kính thể thao Tifosi Crit Golf Sunglasses Emerald Green với thiết kế khí động học, tròng kính Enliven™ tăng cường độ tương phản, gọng Grilamid TR-90 siêu nhẹ, chống tia UV, thoáng khí. Tùy chỉnh thoải mái, hiệu suất tối ưu.",/10970-0.jpg,/10970-0.jpg,/10970-0.jpg,"/10970-1.jpg,/10970-2.jpg,/10970-3.jpg"
8984,Default,simple,Default Category/Kính leo núi,TIFOSI,Kính thể thao TIFOSI Alliant Race Neon - 8984,200000,"Kính thể thao TIFOSI Alliant Race Neon - 8984 được sản xuất cho người đi xe đạp, chạy bộ và vận động viên endurance với khả năng thoáng khí cùng phần đệm tai và mũi được trang bị lớp cao su ưa nước giúp tăng độ bám khi đổ mồ hôi tạo sự thoải mái và ổn định tuyệt vời.",/8984-0.jpg,/8984-0.jpg,/8984-0.jpg,"/8984-1.jpg,/8984-2.jpg,/8984-3.jpg,/8984-4.jpg"
8987,Default,simple,Default Category/Kính leo núi,TIFOSI,Kính thể thao TIFOSI Davos Matte Black - 8987,150000,"Kính thể thao TIFOSI Davos Matte Black - 8987 là sự lựa chọn hoàn hảo cho những ai tìm kiếm cặp kính mát tương xứng với đẳng cấp. Thiết kế gọng kính bán nguyên khối giúp cho Davos trở nên vượt trội hơn khi sử dụng trong chạy bộ, đạp xe và bất kỳ môn thể thao nào khác.",/8987-0.jpg,/8987-0.jpg,/8987-0.jpg,"/8987-1.jpg,/8987-2.jpg,/8987-3.jpg"
